id,points
TSPL02251419,-13
TSPL02251549,-16
TSPL02251162,-20
TSPL02251178,-21
TSPL02251725,-22
TSPL02251737,-22
TSPL0225829,-28
TSPL0225803,-35
TSPL0125218,52
TSPL0225786,51
TSPL0125211,42
TSPL0125444,39
TSPL02251545,35
TSPL0125708,34
TSPL02251844,33
TSPL0125231,33
TSPL0225959,32
TSPL0125491,32
TSPL0225906,31
TSPL012531,27
TSPL0125196,21
TSPL0125279,19
TSPL0125160,17
TSPL0125343,15
TSPL02251819,13
TSPL02251585,13
TSPL0125357,12
TSPL0125757,12
TSPL02251617,12
TSPL0125293,12
TSPL02251883,11
TSPL0225777,10
TSPL0125128,7
TSPL02251326,7
TSPL02251749,6
TSPL0125240,6
TSPL02251165,5
TSPL0125208,5
TSPL02251565,5
TSPL0125526,4
TSPL02251677,3
TSPL02251528,3
TSPL02251860,2
TSPL0125551,1
TSPL0225830,0
TSPL02251118,-2
TSPL02251424,-3
TSPL02251649,-3
TSPL012534,-4
TSPL0125212,-5
TSPL02251758,-6
TSPL0125256,-8
TSPL02251488,-8
TSPL02251373,-8
TSPL0125657,-9
TSPL0125350,-9
TSPL02251429,-10
TSPL012563,-12
TSPL02251554,-14
TSPL02251863,-15
TSPL0125149,-16
TSPL02251824,-16
TSPL02251960,-20
TSPL0125323,-21
TSPL02251284,-23
TSPL0125538,-23
TSPL02251847,-24
TSPL02251929,-24
TSPL02251538,-25
TSPL0125742,-25
TSPL0125387,-26
TSPL02251872,-34
TSPL02251345,-34
TSPL02251397,-47
TSPL02251882,33
TSPL02251823,10
TSPL02251179,5
TSPL012592,5
TSPL02251888,4
TSPL02251171,0
TSPL03251971,-9
TSPL02251240,-13
TSPL02251688,-13
TSPL02251248,-15
TSPL0125122,34
TSPL0125574,31
TSPL02251650,31
TSPL0125660,30
TSPL0125476,28
TSPL0225988,27
TSPL02251556,24
TSPL0125686,23
TSPL0125192,22
TSPL02251417,21
TSPL02251580,20
TSPL0125246,20
TSPL012536,17
TSPL0125560,17
TSPL0125116,16
TSPL02251198,15
TSPL02251480,14
TSPL02251084,14
TSPL02251571,14
TSPL02251787,14
TSPL0125432,14
TSPL02251716,13
TSPL02251394,12
TSPL0225920,11
TSPL0125150,9
TSPL0125280,9
TSPL02251779,9
TSPL02251393,8
TSPL02251906,7
TSPL0125467,7
TSPL02251074,6
TSPL0225854,5
TSPL0125734,4
TSPL02251313,4
TSPL02251301,2
TSPL0125678,0
TSPL0225865,0
TSPL03251974,-3
TSPL02251039,-5
TSPL0125507,-5
TSPL02251081,-5
TSPL02251701,-7
TSPL0225935,-7
TSPL02251117,-8
TSPL0125117,-8
TSPL02251961,-10
TSPL02251633,-12
TSPL02251924,-15
TSPL0225923,-15
TSPL02251515,-16
TSPL02251052,-17
TSPL02251026,-17
TSPL02251287,-21
TSPL02251540,-24
TSPL02251871,-24
TSPL0225831,-28
TSPL02251350,-40
TSPL0225962,-40
TSPL02251887,31
TSPL0125361,29
TSPL02251765,25
TSPL0125754,22
TSPL0125554,14
TSPL012521,13
TSPL0125606,13
TSPL012544,12
TSPL0125659,6
TSPL02251603,5
TSPL02251245,3
TSPL02251578,2
TSPL02251259,1
TSPL0125509,1
TSPL02251335,0
TSPL02251791,-2
TSPL02251714,-3
TSPL0125533,-5
TSPL02251884,-6
TSPL0125138,-8
TSPL02251438,-9
TSPL0225799,-9
TSPL02251559,-10
TSPL02251910,-10
TSPL02251207,-11
